"LUType","LUItem","LUDescription"
"131","8  ","OpenSpace                                         "
"131","9  ","Appeal                                            "
"132","1  ","SegMerge                                          "
"132","10 ","Revalue                                           "
"132","2  ","Assmt/CharRevw                                    "
"132","4  ","NewConstr                                         "
"132","6  ","Other                                             "
"132","7  ","DestroyedProp                                     "
"132","8  ","OpenSpace                                         "
"132","9  ","Appeal                                            "
"137","1  ","Appraised Value                                   "
"137","2  ","Improvement Characteristics                       "
"137","3  ","Site Characteristics                              "
"140","1  ","Local Appeal                                      "
"140","2  ","State Appeal                                      "
"140","3  ","Court                                             "
"140","4  ","Review - Assessment                               "
"140","5  ","Review - Characteristics                          "
"140","6  ","Review - Destruct                                 "
"143","1  ","Condo,Residential                                 "
"143","2  ","Condo,Residential(Apt Use)                        "
"143","3  ","Condo,Commercial                                  "
"143","4  ","Condo,Residential+Commercial                      "
"143","5  ","Condo,Residential(Apt Use)+Commercial             "
"143","6  ","Condo,Mobile Home                                 "
"143","7  ","Condo,Floating Home                               "
"143","8  ","Commercial                                        "
"143","9  ","Condo,Residential+Residential(Apt Use)            "
"145","1  ","Fee Simple                                        "
"145","2  ","Leased Land                                       "
"145","3  ","Air Rights                                        "
"145","4  ","Land Only                                         "
"145","5  ","Bldg Only                                         "
"146","1  ","Poor                                              "
"146","2  ","Fair                                              "
"146","3  ","Average                                           "
"146","4  ","Good                                              "
"146","5  ","Very Good                                         "
"146","6  ","Excellent                                         "
"150","1  ","Flat                                              "
"150","10 ","Leased Land                                       "
"150","11 ","Development Rights                                "
"150","12 ","Unassigned Parking                                "
"150","13 ","Unassigned Storage                                "
"150","14 ","Unassigned Moorage, Open                          "
"150","15 ","Floating Home, Flat                               "
"150","16 ","Mobile Home                                       "
"150","17 ","Marina                                            "
"150","18 ","Hotel                                             "
"150","19 ","Warehouse                                         "
"150","2  ","Townhouse                                         "
"150","20 ","Hangar                                            "
"150","21 ","Retail                                            "
"150","22 ","Office                                            "
"150","23 ","Other Commercial                                  "
"150","24 ","Moorage, Covered                                  "
"150","25 ","Unassigned Moorage, Covered                       "
"150","26 ","Floating Home, Townhouse                          "
"150","27 ","Live/Work                                         "
"150","3  ","Penthouse,Flat                                    "
"150","4  ","Penthouse,Townhouse                               "
"150","5  ","Parking                                           "
"150","6  ","Storage                                           "
"150","7  ","Dock                                              "
"150","8  ","Moorage, Open                                     "
"150","9  ","Land Only                                         "
"151","1  ","Fair                                              "
"151","2  ","Average                                           "
"151","3  ","Good                                              "
"151","4  ","Excellent                                         "
"152","1  ","Fair                                              "
"152","2  ","Standard                                          "
"152","3  ","Good                                              "
"152","4  ","Excellent                                         "
"155","1  ","Fair                                              "
"155","2  ","Standard                                          "
"155","3  ","Good                                              "
"155","4  ","Excellent                                         "
"156","1  ","Den                                               "
"156","2  ","Loft                                              "
"157","1  ","Fair                                              "
"157","2  ","Average                                           "
"157","3  ","Good                                              "
"157","4  ","Excellent                                         "
"159","1  ","Hydraulic                                         "
"159","2  ","Other                                             "
"16 ","1  ","AGRIC                                             "
"16 ","2  ","TIMBER (84.34)                                    "
"16 ","3  ","OPEN SPACE                                        "
"16 ","4  ","FOREST LAND (84.33)                               "
"16 ","5  ","CLFRS                                             "
"161","1  ","Applicant Name                                    "
"161","10 ","Zoning                                            "
"161","11 ","Other Description                                 "
"161","12 ","Project Name                                      "
"161","2  ","Applicant Address                                 "
"161","21 ","Contractor Name                                   "
"161","22 ","Contractor Address                                "
"161","23 ","Contractor Phone Nbr                              "
"161","24 ","Contractor License Nbr                            "
"161","3  ","Applicant Phone Nbr                               "
"161","31 ","Architect Name                                    "
"161","32 ","Architect Address                                 "
"161","33 ","Architect Phone Nbr                               "
"161","34 ","Architect License Nbr                             "
"161","40 ","Owner Name                                        "
"161","41 ","Owner-Reported Value                              "
"161","42 ","Expiration Date                                   "
"161","51 ","Square Feet                                       "
"161","52 ","Nbr Stories                                       "
"161","53 ","Nbr Units                                         "
"161","54 ","Nbr Bedrooms                                      "
"161","55 ","Nbr Buildings                                     "
"161","56 ","Construction                                      "
"161","57 ","Occupancy                                         "
"161","58 ","Class                                             "
"161","59 ","Water System                                      "
"161","60 ","Sewer System                                      "
"161","8  ","Property Address                                  "
"161","9  ","Subdivision / Lot                                 "
"2  ","1  ","AGRICULTURAL                                      "
"2  ","10 ","OTHER                                             "
"2  ","11 ","COMMERCIAL/INDUSTRIAL                             "
"2  ","2  ","CONDOMINIUM                                       "
"2  ","3  ","RECREATIONAL                                      "
"2  ","4  ","APT(4+ UNITS)                                     "
"2  ","5  ","INDUSTRIAL                                        "
"2  ","6  ","RESIDENTIAL                                       "
"2  ","7  ","COMMERCIAL                                        "
"2  ","8  ","MOBILE HOME                                       "
"2  ","9  ","TIMBER                                            "
"26 ","1  ","PRK:DET GAR                                       "
"26 ","10 ","M HOME:REAL                                       "
"26 ","12 ","ON-SITE DEV CST                                   "
"26 ","13 ","FLAT-VALUED IMP                                   "
"26 ","14 ","Pkg: Covrd, Sec                                   "
"26 ","15 ","Pkg: Covrd, Unsec                                 "
"26 ","16 ","Pkg: Open, Sec                                    "
"26 ","17 ","Pkg: Open, Unsec                                  "
"26 ","18 ","Moorage: Covrd                                    "
"26 ","19 ","Moorage: Open                                     "
"26 ","2  ","PRK:CARPORT                                       "
"26 ","20 ","Loading Docks                                     "
"26 ","21 ","Shipping Docks                                    "
"26 ","22 ","Carport                                           "
"26 ","23 ","Paved Parking                                     "
"26 ","24 ","Mobile Home Pad                                   "
"26 ","25 ","Pool                                              "
"26 ","26 ","Sauna                                             "
"26 ","27 ","Jacuzzi                                           "
"26 ","28 ","Sports Court                                      "
"26 ","29 ","Recreation Bldg                                   "
"26 ","3  ","PV:CONCRETE                                       "
"26 ","30 ","Overhead Doors                                    "
"26 ","31 ","Miscellaneous                                     "
"26 ","32 ","Storage Tanks                                     "
"26 ","33 ","Canopies                                          "
"26 ","34 ","Kiosks                                            "
"26 ","35 ","Retail Booths                                     "
"26 ","36 ","Fencing                                           "
"26 ","37 ","Yard Lighting                                     "
"26 ","38 ","Car Wash                                          "
"26 ","39 ","Flat-Valued SFR                                   "
"26 ","40 ","Golf Course Imps                                  "
"26 ","6  ","POOL:CONCRETE                                     "
"26 ","7  ","POOL:PLAS;FBGLS                                   "
"26 ","8  ","MISC IMP                                          "
"26 ","9  ","M HOME:PERS                                       "
"29 ","1  ","Flat                                              "
"29 ","2  ","Townhouse                                         "
"29 ","3  ","Penthouse                                         "
"29 ","4  ","NursHme/Hospital:1-bd rms                         "
"29 ","5  ","NursHme/Hospital:2-bd rms                         "
"29 ","6  ","NursHme/Hospital:3-bd rms                         "
"29 ","7  ","NursHme/Hospital:4-bd rms                         "
"29 ","8  ","Rooming House                                     "
"29 ","9  ","Live/Work                                         "
"4  ","1  ","C/I-Land only                                     "
"4  ","2  ","C/I-Imp prop; no condo/MH                         "
"4  ","3  ","C/I-Condominium                                   "
"4  ","4  ","C/I-Air rights only                             "
"4  ","5  ","C/I-Imp prop excl air rights                    "
"4  ","6  ","C/I-Land or bldg; no split                        "
"4  ","7  ","Res-Land only                                     "
"4  ","8  ","Res-Improved property                             "
"4  ","9  ","Res or C/I-Mobile Home                            "
"40 ","1  ","SqFt                                              "
"40 ","2  ","LinearFt                                          "
"43 ","1  ","Residential                                       "
"43 ","2  ","Commercial                                        "
"43 ","3  ","Condominium                                       "
"43 ","5  ","Timber                                            "
"43 ","6  ","Undivided Interest                                "
"43 ","7  ","Coal & Mineral Rights                             "
"43 ","8  ","Exempt                                            "
"43 ","9  ","Mining                                            "
"47 ","10 ","KILL BY CANCEL                                    "
"47 ","11 ","BOARD CHANGE                                      "
"47 ","12 ","SEG OR MERGE                                      "
"47 ","13 ","KILL BY MERGE                                     "
"47 ","14 ","OMITTED ASSMT                                     "
"47 ","15 ","SEGREGATION                                       "
"47 ","16 ","MERGER                                            "
"47 ","17 ","LEGAL/ABATEMENT                                   "
"47 ","18 ","B OF E CHANGE                                     "
"47 ","19 ","OMIT CORRECTION                                   "
"47 ","20 ","CONDEMNATION                                      "
"47 ","21 ","LEGAL CORRECTION                                  "
"47 ","22 ","CORRECTION                                        "
"47 ","23 ","REVALUE - TIMBER                                  "
"47 ","24 ","100% VALUE LAW 73                                 "
"47 ","25 ","TIMBER-DEPL                                       "
"47 ","26 ","FOREST LAND                                       "
"47 ","27 ","REC-VALUE                                         "
"47 ","28 ","OPEN SPACE                                        "
"47 ","3  ","NONE                                              "
"47 ","32 ","SEGREGATION                                       "
"47 ","33 ","MERGER                                            "
"47 ","34 ","OMITTED ASSMT                                     "
"47 ","35 ","SEG/STATUS CHNG                                   "
"47 ","36 ","MERGE/STATUS CHNG                                 "
"47 ","37 ","SEG/CODE CHNG                                     "
"47 ","38 ","MERGE/CODE CHNG                                   "
"47 ","39 ","OMITTED ASSMT                                     "
"47 ","4  ","LEVY CODE CHNG                                    "
"47 ","40 ","CONDEMNATION                                      "
"47 ","41 ","LEGAL CHANGE                                      "
"47 ","42 ","OMITTED ASSMT                                     "
"47 ","43 ","OMIT REVISION                                     "
"47 ","44 ","CORRECTION                                        "
"47 ","45 ","NEW PARCEL                                        "
"47 ","46 ","NEW PLAT                                          "
"47 ","47 ","REVALUE                                           "
"47 ","48 ","MAINTENANCE                                       "
"47 ","49 ","REVALUE FACTOR                                    "
"47 ","5  ","REVALUE                                           "
"47 ","50 ","HOME IMP EXEMPTION                                "
"47 ","51 ","MAINT                                             "
"47 ","52 ","JUNE BOARD ORDER                                  "
"47 ","53 ","JULY BOARD ORDER                                  "
"47 ","54 ","NOV BOARD ORDER                                   "
"47 ","55 ","STATE BOARD ORDER                                 "
"47 ","56 ","DESTROYED PROPERTY                                "
"47 ","57 ","CO-OP SR CIT EX                                   "
"47 ","58 ","COURT ORDER                                       "
"47 ","59 ","REVALUE                                           "
"47 ","6  ","NEW PLAT                                          "
"47 ","60 ","MAINTENANCE                                       "
"47 ","61 ","HOME IMP EXPIRED                                  "
"47 ","62 ","AMENDMENT                                         "
"47 ","63 ","MAINTENANCE                                       "
"47 ","64 ","BOARD EXTENSION                                   "
"47 ","65 ","EXTENSION                                         "
"47 ","66 ","MOBILE HOME X-FER                                 "
"47 ","67 ","HISTORIC PROPERTY                                 "
"47 ","68 ","CORRECTION BOARD                                  "
"47 ","69 ","S.C. FROZEN VALUE                                 "
"47 ","7  ","PLAT KILL                                         "
"47 ","70 ","SR CIT CHANGE                                     "
"47 ","8  ","TAX STATUS CHNG                                   "
"47 ","9  ","REACTVATED                                        "
"5  ","1  ","None                                              "
"5  ","10 ","Property Settlement                               "
"5  ","11 ","Divorce Settlement                                "
"5  ","12 ","Tenancy Partition                                 "
"5  ","13 ","Community Prop Established                        "
"5  ","14 ","Partial Int - love,aff,gft                        "
"5  ","15 ","Easement                                          "
"5  ","16 ","Correction (refiling)                             "
"5  ","17 ","Trade                                             "
"5  ","18 ","Other                                             "
"5  ","19 ","Quit Claim Deed - gift/full or part interest      "
"5  ","2  ","Assumption                                        "
"5  ","3  ","Mortgage Assumption                               "
"5  ","4  ","Foreclosure                                       "
"5  ","5  ","Trust                                             "
"5  ","6  ","Executor-to admin guardian                        "
"5  ","7  ","Testamentary Trust                                "
"5  ","8  ","Estate Settlement                                 "
"5  ","9  ","Settlement                                        "
"50 ","1  ","DUWAMISH                                          "
"50 ","2  ","ELLIOTT BAY                                       "
"50 ","3  ","PUGET SOUND                                       "
"50 ","4  ","LAKE UNION                                        "
"50 ","5  ","SHIP CANAL                                        "
"50 ","6  ","LAKE WASH                                         "
"50 ","7  ","LAKE SAMM                                         "
"50 ","8  ","OTHER LAKE                                        "
"50 ","9  ","RIVER/SLOUGH                                      "
"51 ","1  ","YES                                               "
"52 ","1  ","LOW                                               "
"52 ","2  ","MEDIUM                                            "
"52 ","3  ","HIGH                                              "
"52 ","4  ","NO BANK                                           "
"53 ","1  ","To Residence                                      "
"53 ","2  ","To Waterfront                                     "
"53 ","3  ","No Waterfront Access                              "
"54 ","1  ","UPLANDS ONLY                                      "
"54 ","2  ","UPLANDS WITH TIDELANDS/SHORELANDS                 "
"54 ","3  ","TIDELANDS/SHORELANDS ONLY                         "
"55 ","1  ","RESTRICTED                                        "
"55 ","2  ","LEGAL/UNDEVELOPED                                 "
"55 ","3  ","PRIVATE                                           "
"55 ","4  ","PUBLIC                                            "
"55 ","5  ","WALK IN                                           "
"56 ","1  ","PRIVATE                                           "
"56 ","2  ","WATER DISTRICT                                    "
"56 ","3  ","PRIVATE RESTRICTED                                "
"56 ","4  ","PUBLIC RESTRICTED                                 "
"57 ","1  ","PRIVATE                                           "
"57 ","2  ","PUBLIC                                            "
"57 ","3  ","PRIVATE RESTRICTED                                "
"57 ","4  ","PUBLIC RESTRICTED                                 "
"58 ","1  ","FAIR                                              "
"58 ","2  ","AVERAGE                                           "
"58 ","3  ","GOOD                                              "
"58 ","4  ","EXCELLENT                                         "
"59 ","1  ","YES                                               "
"6  ","1  ","None                                              "
"6  ","10 ","Real Estate Contract                              "
"6  ","11 ","Purchaser's Assignment                            "
"6  ","13 ","Seller's Assignment                               "
"6  ","15 ","Quit Claim Deed                                   "
"6  ","18 ","Trustees' Deed                                    "
"6  ","19 ","Executor's Deed                                   "
"6  ","2  ","Warranty Deed                                     "
"6  ","20 ","Fiduciary Deed                                    "
"6  ","21 ","Sheriff's Deed                                    "
"6  ","22 ","Bargain and Sales Deed                            "
"6  ","23 ","Receivers Deed                                    "
"6  ","24 ","Deed of Personal Rep                              "
"6  ","25 ","Judgment Per Stipulation                          "
"6  ","26 ","Other - See Affidavit                             "
"6  ","27 ","DEED                                              "
"6  ","28 ","Forfeiture Real Estate Contract                   "
"6  ","3  ","Statutory Warranty Deed                           "
"6  ","4  ","Special Warranty Deed                             "
"6  ","5  ","Corporate Warranty Deed                           "
"6  ","6  ","Assumption Warranty Deed                          "
"6  ","7  ","Grant Deed                                        "
"6  ","8  ","Contract (equity)                                 "
"6  ","9  ","Contract (installment)                            "
"60 ","1  ","PAVED                                             "
"60 ","2  ","GRAVEL                                            "
"60 ","3  ","DIRT                                              "
"60 ","4  ","UNDEVELOPED                                       "
"66 ","1  ","ELECTRIC                                          "
"66 ","10 ","WALL FURNACE                                      "
"66 ","11 ","PACKAGE UNIT                                      "
"66 ","12 ","WARMED AND COOLED AIR                             "
"66 ","13 ","HOT & CHILLED WATER                               "
"66 ","14 ","HEAT PUMP                                         "
"66 ","15 ","FLOOR FURNACE                                     "
"66 ","16 ","THRU-WALL HEAT PUMP                               "
"66 ","17 ","COMPLETE HVAC                                     "
"66 ","18 ","EVAPORATIVE COOLING                               "
"66 ","19 ","REFRIGERATED COOLING                              "
"66 ","2  ","ELECTRIC WALL                                     "
"66 ","20 ","NO HEAT                                           "
"66 ","26 ","CONTROL ATMOS., COND. AIR                         "
"66 ","27 ","CONTROL ATMOS., WARM/COOLED                       "
"66 ","3  ","FORCED AIR UNIT                                   "
"66 ","4  ","HOT WATER                                         "
"66 ","5  ","HOT WATER-RADIANT                                 "
"66 ","6  ","SPACE HEATERS                                     "
"66 ","7  ","STEAM                                             "
"66 ","8  ","STEAM WITHOUT BOILER                              "
"66 ","9  ","VENTILATION                                       "
"67 ","1  ","DISTRICT                                          "
"67 ","2  ","INVENTORY                                         "
"67 ","3  ","DESIGNATED                                        "
"67 ","4  ","VACANT HIST LAND                                  "
"7  ","1  ","PERSONAL PROPERTY INCLUDED                        "
"7  ","10 ","TEAR DOWN                                         "
"7  ","11 ","CORPORATE AFFILIATES                              "
"7  ","12 ","ESTATE ADMINISTRATOR, GUARDIAN, OR EXECUTOR       "
"7  ","13 ","BANKRUPTCY - RECEIVER OR TRUSTEE                  "
"7  ","14 ","SHERIFF / TAX SALE                                "
"7  ","15 ","NO MARKET EXPOSURE                                "
"7  ","16 ","GOV'T TO GOV'T                                    "
"7  ","17 ","NON-PROFIT ORGANIZATION                           "
"7  ","18 ","QUIT CLAIM DEED                                   "
"7  ","19 ","SELLER'S OR PURCHASER'S ASSIGNMENT                "
"7  ","2  ","1031 TRADE                                        "
"7  ","20 ","CORRECTION DEED                                   "
"7  ","21 ","TRADE                                             "
"7  ","22 ","PARTIAL INTEREST (1/3, 1/2, Etc.)                 "
"7  ","23 ","FORCED SALE                                       "
"7  ","24 ","EASEMENT OR RIGHT-OF-WAY                          "
"7  ","25 ","FULFILLMENT OF CONTRACT DEED                      "
"7  ","26 ","IMP. CHARACTERISTICS CHANGED SINCE SALE           "
"7  ","27 ","TIMBER AND FOREST LAND                            "
"7  ","28 ","NEW PLAT (WITH LESS THAN 20% SOLD)                "
"7  ","29 ","SEGREGATION AND/OR MERGER                         "
"7  ","3  ","CONTRACT OR CASH SALE                             "
"7  ","30 ","HISTORIC PROPERTY                                 "
"7  ","31 ","EXEMPT FROM EXCISE TAX                            "
"7  ","32 ","$1,000 SALE OR LESS                               "
"7  ","33 ","LEASE OR LEASE-HOLD                               "
"7  ","34 ","CHANGE OF USE                                     "
"7  ","35 ","OPEN SPACE DESIGNATION CONTINUED/OK'D AFTER SALE  "
"7  ","36 ","PLOTTAGE                                          "
"7  ","37 ","SECURING OF DEBT                                  "
"7  ","38 ","DIVORCE                                           "
"7  ","39 ","ASSUMPTION OF MORTGAGE W/NO ADDL CONSIDERATION PD "
"7  ","4  ","PRESALE                                           "
"7  ","40 ","RELOCATION - SALE TO SERVICE                      "
"7  ","41 ","RELOCATION - SALE BY SERVICE                      "
"7  ","42 ","DEVELOPMENT RIGHTS TO CNTY,CTY,OR PRVT DEVELOPER  "
"7  ","43 ","DEVELOPMENT RIGHTS PARCEL TO PRVT SECTOR          "
"7  ","44 ","TENANT                                            "
"7  ","45 ","MULTI-PARCEL SALE                                 "
"7  ","46 ","NON-REPRESENTATIVE SALE                           "
"7  ","47 ","NON-CONVENTIONAL HEATING SYSTEM                   "
"7  ","48 ","CONDO WITH GARAGE, MOORAGE, OR STORAGE            "
"7  ","49 ","MOBILE HOME                                       "
"7  ","5  ","FULL SALES PRICE NOT REPORTED                     "
"7  ","50 ","CONDO WHOLESALE                                   "
"7  ","51 ","RELATED PARTY, FRIEND, OR NEIGHBOR                "
"7  ","52 ","STATEMENT TO DOR                                  "
"7  ","53 ","RESIDUAL SALES                                    "
"7  ","54 ","AFFORDABLE HOUSING SALES                          "
"7  ","55 ","SHELL                                             "
"7  ","56 ","BUILDER OR DEVELOPER SALES                        "
"7  ","57 ","SELLING OR BUYING COSTS AFFECTING SALE PRICE      "
"7  ","58 ","PRELIMINARY SHORTPLAT APPROVAL                    "
"7  ","59 ","BULK PORTFOLIO SALE                               "
"7  ","6  ","REFUND                                            "
"7  ","60 ","SHORT SALE                                        "
"7  ","61 ","FINANCIAL INSTITUTION RESALE                      "
"7  ","62 ","AUCTION SALE                                      "
"7  ","63 ","SALE PRICE UPDATED BY SALES ID GROUP              "
"7  ","64 ","SALES/LEASEBACK                                   "
"7  ","65 ","PLANS AND PERMITS                                 "
"7  ","66 ","CONDEMNATION/EMINENT DOMAIN                       "
"7  ","67 ","GOV'T TO NON-GOV'T                                "
"7  ","68 ","NON-GOV'T TO GOV'T                                "
"7  ","69 ","NET LEASE SALE                                    "
"7  ","7  ","QUESTIONABLE PER SALES IDENTIFICATION             "
"7  ","70 ","BUILDING ONLY                                     "
"7  ","8  ","QUESTIONABLE PER APPRAISAL                        "
"7  ","9  ","QUESTIONABLE PER MAINFRAME SYSTEM (Obsolete code) "
"71 ","1  ","FULL BOARD                                        "
"71 ","2  ","EXAMINER                                          "
"71 ","3  ","MINI BOARD A                                      "
"71 ","4  ","MINI BOARD B                                      "
"71 ","5  ","MINI BOARD C                                      "
"71 ","6  ","EQUALIZATION PANEL                                "
"71 ","7  ","BOARD MEMBER                                      "
"71 ","8  ","REVIEW; NO HEARING                                "
"72 ","1  ","TAXPAYER                                          "
"72 ","2  ","ASSESSOR                                          "
"72 ","3  ","BOARD                                             "
"73 ","1  ","SUSTAIN                                           "
"73 ","2  ","REVISE                                            "
"73 ","20 ","INVALIDATED                                       "
"73 ","21 ","STIPULATED                                        "
"73 ","22 ","TRANSFERRED                                       "
"73 ","23 ","DISMISS                                           "
"73 ","24 ","WITHDRAWN                                         "
"73 ","3  ","REVISE, ASSESSOR RECOMMENDED                      "
"80 ","1  ","SUSTAIN                                           "
"80 ","2  ","REVISE                                            "
"80 ","3  ","STIPULATE                                         "
"82 ","1  ","1  Cabin                                          "
"82 ","10 ","10 Very Good                                      "
"82 ","11 ","11 Excellent                                      "
"82 ","12 ","12 Luxury                                         "
"82 ","13 ","13 Mansion                                        "
"82 ","2  ","2  Substandard                                    "
"82 ","20 ","20 Exceptional Properties                         "
"82 ","3  ","3  Poor                                           "
"82 ","4  ","4  Low                                            "
"82 ","5  ","5  Fair                                           "
"82 ","6  ","6  Low Average                                    "
"82 ","7  ","7  Average                                        "
"82 ","8  ","8  Good                                           "
"82 ","9  ","9  Better                                         "
"83 ","1  ","Poor                                              "
"83 ","2  ","Fair                                              "
"83 ","3  ","Average                                           "
"83 ","4  ","Good                                              "
"83 ","5  ","Very Good                                         "
"84 ","1  ","Oil                                               "
"84 ","2  ","Gas                                               "
"84 ","3  ","Electricity                                       "
"84 ","4  ","Oil/Solar                                         "
"84 ","5  ","Gas/Solar                                         "
"84 ","6  ","Electricity/Solar                                 "
"84 ","7  ","Other                                             "
"89 ","1  ","COMMON                                            "
"89 ","2  ","PRIVATE                                           "
"90 ","1  ","YES                                               "
"91 ","1  ","YES                                               "
"92 ","1  ","INADEQUATE                                        "
"92 ","2  ","ADEQUATE                                          "
"93 ","1  ","YES                                               "
"95 ","1  ","MODERATE                                          "
"95 ","2  ","HIGH                                              "
"95 ","3  ","EXTREME                                           "
"96 ","2  ","LOW COST                                          "
"96 ","3  ","LOW/AVERAGE                                       "
"96 ","4  ","AVERAGE                                           "
"96 ","5  ","AVERAGE/GOOD                                      "
"96 ","6  ","GOOD                                              "
"96 ","7  ","GOOD/EXCELLENT                                    "
"96 ","8  ","EXCELLENT                                         "
"97 ","1  ","STRUCTURAL STEEL                                  "
"97 ","2  ","REINFORCED CONCRETE                               "
"97 ","3  ","MASONRY                                           "
"97 ","4  ","WOOD FRAME                                        "
"97 ","5  ","PREFAB STEEL                                      "
"98 ","1  ","SUBSTANDARD                                       "
"98 ","2  ","BELOW AVERAGE                                     "
"98 ","3  ","AVERAGE                                           "
"98 ","4  ","ABOVE AVERAGE                                     "
"98 ","5  ","EXCELLENT                                         "
"99 ","1  ","SUBSTANDARD                                       "
"99 ","2  ","BELOW AVERAGE                                     "
"99 ","3  ","AVERAGE                                           "
"99 ","4  ","ABOVE AVERAGE                                     "
"99 ","5  ","EXCELLENT                                         "
